"difficulty","question","answer"
"simple","赵云营寨前的河流叫什么名字？","汉水。"
"simple","黄忠劫粮时，曹操派谁领兵将其围困？","徐晃。"
"simple","赵云救援黄忠时，杀了曹操哪两位将领？","慕容烈、焦炳。"
"simple","曹操在高处看到赵云英勇，说了句什么评价？","“昔日当阳长坂英雄尚在！”"
"simple","赵云回营后，面对曹军追击，采取了什么策略？","空营计（偃旗息鼓，大开寨门）。"
"simple","曹操任命谁为副先锋，协助徐晃渡汉水作战？","王平。"
"simple","徐晃欲效仿哪位古人采用背水列阵？","韩信。"
"simple","黄忠和赵云用什么策略击败了渡过汉水的徐晃？","待其日暮兵疲，分兵两路夹攻。"
"simple","王平因何事投降了刘备？","徐晃欲杀他，他夜晚放火烧营后投奔赵云。"
"simple","诸葛亮如何利用疑兵之计骚扰曹操，使其退兵？","夜间令赵云在土山后鸣鼓角，让曹兵惊疑不安。"
"simple","刘备在哪里与曹操对阵并大骂其罪行？","中路五界山前。"
"simple","曹操因看到蜀兵有哪些可疑之处而下令急退？","背汉水安营、多弃马匹军器。"
"simple","张飞和魏延奉命去截断曹操的什么？","粮道。"
"simple","许褚因何故被张飞击败？","酒醉。"
"simple","曹操的哪个儿子前来增援，解了斜谷之围？","次子曹彰（字子文）。"
"simple","曹彰在战斗中斩杀了蜀汉哪位将领？","吴兰。"
"simple","曹操因看到碗中何物而定下“鸡肋”的口号？","鸡肋。"
"simple","谁因解读“鸡肋”口令并提前准备归程而被曹操所杀？","杨修。"
"simple","杨修因何罪名被曹操处死？","造言乱我军心。"
"simple","魏延用箭射中了曹操身体的哪个部位？","人中（折却门牙两个）。"
"simple","谁在危急时刻救了被魏延追杀的曹操？","庞德。"
"simple","刘备在哪里筑坛登基，自立为汉中王？","沔阳。"
"simple","汉中王刘备封的“五虎大将”是哪五位？","关羽、张飞、赵云、马超、黄忠。"
"simple","关羽最初为何不肯接受“五虎将”的封号？","认为黄忠是老卒，不配与自己同列。"
"simple","谁劝说关羽接受了“五虎将”的封号？","费诗。"
"simple","黄忠和赵云通过什么方式决定谁先去劫粮？","拈阄。"
"simple","诸葛亮建议派谁去烧毁曹操在北山的粮草？","黄忠（与赵云同去）。"
"simple","黄忠因斩杀夏侯渊被刘备加封为什么将军？","征西大将军。"
"simple","曹操在哪里得知夏侯渊的死讯？","南郑（曹洪报知）。"
"simple","张任被俘后说了什么话？最终结局如何？","“忠臣岂肯事二主乎？”。拒不投降，被斩以全其名。"
"simple","刘璋手下哪位官员首先劝其投降刘备？","谯周，他引用天象和童谣为证。"
"simple","蜀郡太守许靖在刘备兵临城下时做了什么？","逾城出降。"
"simple","刘备占领成都后，谁首先反对将成都田宅分赐官员？","赵云。"
"simple","关羽得知马超归降，想入川与其比试，诸葛亮如何劝阻的？","写信称赞关羽“绝伦超群”，远胜马超，并强调荆州责任重大。"
"simple","孙权索要荆州不成，鲁肃设下了什么计策？","邀请关羽单刀赴会，意图在宴席上胁迫或刺杀。"
"simple","法正被派去协助哪位老将夺取定军山？","黄忠。"
"simple","赵云奉命带兵走哪条路接应黄忠？","小路。"
